﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2020/21 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","20","20","40","0","0","0","0","0","0","0","0","0","40"
"10007783","The University of Aberdeen","50","840","185","1,070","55","10","45","110","40","0","45","90","5","1,280"
"10000055","Abingdon and Witney College","0","5","10","15","0","5","0","5","0","0","0","0","0","20"
"10007849","Abertay University","30","205","100","335","35","10","30","75","40","5","20","65","0","475"
"10007856","Aberystwyth University","30","240","130","400","55","15","45","115","50","5","55","110","5","625"
"10067853","ACM Guildford Limited","5","10","45","65","5","0","10","15","5","0","5","10","0","90"
"10004927","Activate Learning","5","15","15","35","0","5","5","10","5","10","5","15","0","60"
"10000163","AECC University College","0","55","0","55","5","0","0","5","0","0","0","0","0","60"
"10000291","Anglia Ruskin University","185","960","415","1,560","160","25","215","400","80","20","75","175","10","2,150"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","5","5","0","10"
"10005451","Arden University","35","55","50","145","25","5","50","85","10","5","5","20","0","250"
"10000381","Arts Educational Schools","0","10","15","25","5","0","0","5","5","0","5","10","0","40"
"10008899","The Ashridge (Bonar Law Memorial) Trust","5","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10003212","Hult International Business School Ltd","15","15","25","55","0","0","0","0","0","0","0","5","0","60"
"10000415","Askham Bryan College","5","10","10","25","5","5","15","20","5","0","0","10","0","55"
"10007759","Aston University","60","685","290","1,035","75","5","25","100","40","5","15","60","10","1,205"
"10000473","Aylesbury College","0","0","5","5","0","0","0","5","0","0","0","0","0","10"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","5","0","5","0","0","0","5","0","5"
"10007857","Bangor University","25","440","145","615","45","25","70","140","65","5","45","115","0","870"
"10000536","Barnsley College","5","10","10","20","0","0","10","15","5","0","5","10","0","50"
"10000533","Barnet & Southgate College","5","5","5","15","5","0","5","10","0","0","5","10","0","35"
"10000560","Basingstoke College of Technology","0","10","0","15","0","5","0","5","0","0","0","0","0","20"
"10001465","Bath College","0","15","5","25","0","5","0","10","0","0","0","0","0","35"
"10000571","Bath Spa University","50","435","225","710","70","15","75","160","50","10","60","120","5","995"
"10007850","The University of Bath","70","1,260","400","1,730","50","5","35","85","25","5","15","45","5","1,865"
"10000610","Bedford College","5","30","30","65","0","15","5","20","10","0","10","20","0","105"
"10007152","University of Bedfordshire","45","515","195","755","65","10","105","180","40","15","55","110","5","1,055"
"10005343","Queen's University Belfast","80","1,655","405","2,135","105","20","55","175","80","10","40","130","10","2,455"
"10020680","Belfast Metropolitan College","15","85","65","165","25","10","35","65","30","10","20","60","0","295"
"10000670","Bexhill College","0","0","0","0","0","0","5","5","0","0","0","0","0","5"
"10037544","BIMM University","25","75","155","255","30","10","25","70","35","10","55","100","5","425"
"10007760","Birkbeck College","110","425","235","775","80","15","45","135","20","0","15","40","10","960"
"10006442","Birmingham Metropolitan College","0","5","5","10","0","5","0","10","0","0","5","5","0","25"
"10007140","Birmingham City University","100","1,525","595","2,220","195","40","125","360","180","20","100","300","25","2,905"
"10006840","The University of Birmingham","195","2,285","675","3,150","155","15","80","250","80","10","80","165","15","3,585"
"10000712","University College Birmingham","25","90","105","215","50","45","90","185","35","10","40","85","0","490"
"10000720","Bishop Auckland College","0","0","5","10","0","0","0","5","0","0","0","0","0","15"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000721","Bishop Burton College","5","20","20","45","5","5","20","25","5","0","15","20","0","95"
"10007811","Bishop Grosseteste University","10","310","65","385","10","0","70","85","15","5","10","30","0","500"
"10000747","Blackburn College","5","35","40","80","15","5","30","50","10","5","5","20","0","145"
"10000754","Blackpool and the Fylde College","20","75","65","160","15","15","55","85","15","5","20","40","0","285"
"10004061","Bloomsbury Institute","15","15","15","45","20","5","10","30","5","5","5","15","0","95"
"10006841","The University of Bolton","30","340","165","540","35","15","70","120","20","5","30","60","5","725"
"10000812","Boston College","0","10","15","25","0","0","10","15","5","0","0","10","0","50"
"10000385","The Arts University Bournemouth","5","90","135","235","20","40","40","105","30","5","40","75","0","415"
"10000820","The Bournemouth and Poole College","0","15","5","20","0","0","5","5","5","0","0","10","0","30"
"10000824","Bournemouth University","60","825","540","1,430","115","25","75","215","65","10","65","145","5","1,790"
"10031982","BPP University","35","1,010","120","1,165","35","0","20","60","15","5","5","25","10","1,265"
"10007785","The University of Bradford","40","475","110","625","45","5","45","95","30","5","20","55","0","775"
"10000840","Bradford College","5","65","20","95","5","0","10","20","10","5","0","15","0","130"
"10000886","The University of Brighton","75","1,025","415","1,515","100","30","75","205","80","5","60","145","10","1,870"
"10004736","Greater Brighton Metropolitan College","0","15","25","40","5","15","10","25","10","5","15","30","0","100"
"10000936","The University College of Osteopathy","0","35","0","40","0","0","0","0","0","0","0","0","0","40"
"10001467","City of Bristol College","0","25","15","45","5","5","10","20","0","0","0","5","0","65"
"10007786","The University of Bristol","75","1,690","570","2,330","130","15","80","220","55","10","70","130","15","2,700"
"10000878","Bridgwater and Taunton College","15","30","20","60","5","5","5","10","10","0","5","15","0","85"
"10023464","Trinity College Bristol","0","35","5","45","0","0","0","0","0","0","0","0","0","45"
"10000944","Brockenhurst College","0","10","0","10","0","0","5","5","0","0","0","0","0","15"
"10000950","Brooklands College","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10000948","Bromley College of Further and Higher Education","0","10","5","15","0","0","0","5","0","0","0","0","0","20"
"10000952","BMC (Brooksby Melton College)","5","25","10","45","0","5","5","10","0","0","0","5","0","60"
"10000961","Brunel University London","60","715","260","1,035","105","10","55","175","70","10","30","110","10","1,325"
"10000975","Buckinghamshire New University","65","435","230","730","55","20","95","170","30","20","40","90","10","1,000"
"10007787","The University of Buckingham","20","355","40","415","10","0","10","20","5","0","5","10","0","445"
"10001004","Burton and South Derbyshire College","0","0","5","5","0","0","0","0","0","0","0","5","0","10"
"10001000","Burnley College","0","25","5","35","0","15","10","20","0","0","0","5","0","60"
"10001005","Bury College","0","10","10","20","0","0","15","20","5","0","5","10","0","45"
"10019368","London College of Business Studies","0","0","0","5","0","0","0","0","0","0","0","5","0","10"
"10001093","Calderdale College","0","5","15","20","0","0","5","5","0","0","0","5","0","30"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","5","0","0","0","0","0","5"
"10001116","Cambridge Regional College","0","10","20","25","0","5","5","10","5","0","5","10","0","50"
