﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2021/22 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10000961","Brunel University London","65","665","305","1,040","140","15","60","215","85","10","60","150","5","1,410"
"10000975","Buckinghamshire New University","80","545","300","925","55","20","85","165","50","20","45","115","15","1,215"
"10007787","The University of Buckingham","20","485","40","545","15","0","10","25","5","5","0","10","5","580"
"10001004","Burton and South Derbyshire College","0","5","0","5","0","0","0","0","0","0","0","0","0","10"
"10001000","Burnley College","0","25","10","35","0","15","10","25","0","0","0","5","0","65"
"10001005","Bury College","0","15","5","20","0","0","10","10","5","0","5","10","0","40"
"10001093","Calderdale College","5","5","5","15","0","0","10","10","5","0","0","5","0","30"
"10010308","Cambridge Arts and Sciences Limited","0","5","5","5","0","0","0","0","0","0","0","5","0","10"
"10001116","Cambridge Regional College","0","10","5","15","5","5","0","10","5","0","0","10","0","35"
"10007788","The University of Cambridge","165","1,520","300","1,980","65","0","20","85","10","0","25","35","15","2,120"
"10032072","The Cambridge Theological Federation","0","20","0","20","0","0","0","0","0","0","0","0","0","20"
"10003324","The Institute of Cancer Research","0","30","0","30","0","0","0","0","0","0","0","0","0","30"
"10001143","Canterbury Christ Church University","45","895","250","1,190","70","10","90","170","45","10","50","105","5","1,470"
"10007814","Cardiff University","125","2,085","545","2,755","170","20","85","275","70","5","75","155","20","3,205"
"10007854","Cardiff Metropolitan University","45","525","265","835","60","15","80","155","50","10","50","110","5","1,100"
"10002061","Central Bedfordshire College","10","5","10","20","0","0","10","10","5","15","10","30","0","60"
"10057213","CEG UFP Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007141","The University of Central Lancashire","70","940","470","1,480","85","20","105","210","80","20","85","190","5","1,885"
"10024024","Central Film School London","0","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10001378","Chesterfield College","0","20","5","30","0","10","5","15","0","0","5","10","0","50"
"10007848","University of Chester","80","840","285","1,210","85","20","130","235","60","10","60","130","10","1,580"
"10007817","Chichester College Group","5","10","10","30","5","5","5","10","0","0","5","5","0","50"
"10007137","The University of Chichester","40","305","210","555","40","20","60","120","40","10","35","85","5","765"
"10001386","Chicken Shed Theatre Company","0","5","10","10","0","0","5","5","0","0","0","5","0","20"
