﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2017/18 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","20","40","60","0","0","0","0","0","0","0","0","0","60"
"10007783","The University of Aberdeen","30","695","155","880","65","15","30","105","45","5","35","85","0","1,075"
"10000055","Abingdon and Witney College","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"10007849","Abertay University","15","115","75","205","30","5","25","60","40","0","20","65","0","330"
"10007856","Aberystwyth University","25","260","155","445","75","20","55","150","70","5","65","145","5","745"
"10000093","Accrington and Rossendale College","0","5","10","15","0","0","5","5","0","0","0","0","0","20"
"10000248","Academy of Live and Recorded Arts","0","5","20","20","0","0","0","5","0","0","5","5","0","30"
"10004927","Activate Learning","10","5","5","25","0","0","0","5","5","5","0","10","0","35"
"10000163","AECC University College","5","20","5","25","0","0","0","0","0","0","0","0","0","25"
"10000291","Anglia Ruskin University","145","1,165","435","1,745","140","15","160","320","90","20","50","160","10","2,230"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10005451","Arden University","15","30","20","65","5","5","15","25","5","0","5","10","0","95"
"10000381","Arts Educational Schools","5","5","20","30","0","0","0","0","0","0","0","5","0","35"
"10000415","Askham Bryan College","5","10","25","35","5","10","15","30","15","0","10","25","0","90"
"10007759","Aston University","95","645","285","1,030","90","10","20","120","40","5","15","55","5","1,210"
"10000473","Aylesbury College","0","0","5","5","5","0","0","5","0","0","0","0","0","10"
"10007857","Bangor University","25","420","170","615","70","25","80","175","70","5","70","145","5","940"
"10000528","Barking and Dagenham College","5","5","5","15","0","5","0","5","0","0","5","5","0","30"
"10000534","Barnfield College","0","0","0","5","0","0","5","5","0","0","0","5","0","10"
"10000536","Barnsley College","5","15","10","30","0","5","15","20","10","0","5","15","0","65"
"10000533","Barnet & Southgate College","0","15","5","20","0","0","10","10","0","0","0","0","0","35"
"10000560","Basingstoke College of Technology","0","5","5","10","0","5","0","5","0","0","0","0","0","15"
"10001465","Bath College","5","20","5","30","0","5","0","5","5","0","5","10","0","45"
"10000571","Bath Spa University","40","490","265","790","80","15","70","165","95","10","75","180","5","1,135"
"10007850","The University of Bath","65","1,030","365","1,460","60","10","30","100","25","5","15","45","0","1,605"
"10000610","Bedford College","10","35","35","80","10","20","10","35","20","0","20","45","5","165"
"10007152","University of Bedfordshire","55","665","240","955","70","15","125","210","75","5","55","135","5","1,305"
"10005343","Queen's University Belfast","55","1,530","355","1,945","90","15","65","170","105","5","55","165","15","2,290"
"10020680","Belfast Metropolitan College","40","85","105","230","50","25","50","130","50","5","25","75","5","440"
"10000654","The Berkshire College of Agriculture (BCA)","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10000670","Bexhill College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10037544","BIMM University","15","60","175","250","45","20","20","85","50","5","60","115","0","450"
"10007760","Birkbeck College","110","425","280","815","95","10","40","145","20","10","25","55","5","1,020"
"10006442","Birmingham Metropolitan College","0","20","5","20","0","5","0","5","0","0","0","0","0","30"
"10007140","Birmingham City University","90","1,370","530","1,990","165","40","95","300","180","15","100","295","10","2,595"
"10006840","The University of Birmingham","235","2,280","630","3,150","170","15","80","265","80","5","55","145","10","3,565"
"10000712","University College Birmingham","35","90","90","210","50","35","90","180","65","5","45","110","0","505"
"10000720","Bishop Auckland College","0","0","5","5","0","5","0","5","0","0","5","5","0","20"
"10000894","Bristol Baptist College","0","5","0","10","0","0","0","0","0","0","0","0","0","10"
"10000721","Bishop Burton College","10","10","10","25","0","5","20","25","5","5","10","20","0","70"
"10007811","Bishop Grosseteste University","0","340","65","405","15","5","70","95","15","0","15","30","0","530"
"10000747","Blackburn College","10","40","60","110","20","5","40","60","20","0","10","30","0","200"
"10000754","Blackpool and the Fylde College","15","80","55","150","10","15","30","55","10","5","20","35","0","240"
"10004061","Bloomsbury Institute","5","5","10","20","5","0","5","10","5","0","5","10","0","40"
"10000794","Bolton College","5","5","5","15","0","0","0","5","0","0","0","0","0","20"
"10006841","The University of Bolton","20","255","120","400","25","10","80","115","25","5","30","55","0","570"
"10000812","Boston College","0","10","10","15","0","0","10","10","0","0","5","5","0","30"
"10000385","The Arts University Bournemouth","10","110","185","310","30","35","40","105","45","5","40","90","0","505"
"10000820","The Bournemouth and Poole College","0","15","0","15","0","0","0","0","5","0","5","5","0","25"
"10000824","Bournemouth University","70","860","510","1,445","110","30","70","210","55","5","55","115","5","1,770"
"10031982","BPP University","25","770","70","870","45","0","15","60","15","0","10","20","5","955"
"10007785","The University of Bradford","25","530","95","650","50","10","45","105","40","5","25","70","5","830"
"10000840","Bradford College","10","95","45","145","10","10","20","40","15","5","10","25","0","210"
"10000886","The University of Brighton","80","1,285","455","1,820","130","15","80","225","100","10","65","175","5","2,225"
"10004736","Greater Brighton Metropolitan College","0","20","30","50","5","10","5","20","10","0","15","25","0","95"
"10000936","The University College of Osteopathy","10","40","0","50","0","0","0","0","0","0","0","0","0","50"
"10001467","City of Bristol College","0","20","25","45","0","0","10","15","0","0","5","5","0","65"
"10007786","The University of Bristol","90","1,495","450","2,035","125","25","60","210","50","5","45","100","10","2,360"
"10000878","Bridgwater and Taunton College","10","35","25","70","5","15","15","30","10","0","10","20","0","125"
"10028216","Brit College","5","0","0","5","5","5","5","15","5","15","10","30","0","50"
"10023464","Trinity College Bristol","0","25","0","30","0","0","0","0","0","0","0","0","0","30"
"10000944","Brockenhurst College","0","5","0","10","0","0","5","5","0","0","0","0","0","15"
"10000950","Brooklands College","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10000948","Bromley College of Further and Higher Education","5","5","5","15","0","0","5","5","0","0","0","5","0","25"
"10000952","BMC (Brooksby Melton College)","0","0","5","10","0","0","0","0","5","0","0","5","0","15"
"10000961","Brunel University London","55","620","260","930","95","10","40","145","60","5","20","85","5","1,170"
"10000975","Buckinghamshire New University","45","440","190","680","45","10","75","130","35","10","30","80","10","900"
"10007787","The University of Buckingham","15","325","30","370","20","0","5","25","5","0","5","10","0","405"
"10001004","Burton and South Derbyshire College","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"10001000","Burnley College","5","20","15","35","0","10","10","20","0","0","5","10","0","60"
"10001005","Bury College","5","5","5","15","0","0","10","10","5","0","0","5","0","35"
"10022021","UK College of Business and Computing","5","0","5","10","0","5","5","10","0","0","10","15","0","35"
"10001093","Calderdale College","0","5","5","10","0","0","5","5","0","0","5","10","0","25"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","5","0","0","5","0","5"
"10001116","Cambridge Regional College","0","0","5","10","5","10","0","15","10","0","0","10","0","35"
"10007788","The University of Cambridge","140","1,695","300","2,135","45","5","20","65","15","0","15","30","15","2,240"
"10032072","The Cambridge Theological Federation","0","15","0","20","0","0","0","0","0","0","0","0","0","20"
"10003324","The Institute of Cancer Research","0","25","0","25","0","0","0","0","0","0","0","0","0","25"
"10001143","Canterbury Christ Church University","65","1,230","320","1,620","95","20","175","290","100","10","60","170","10","2,085"
"10001165","Cardinal Newman Catholic Sixth Form College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007814","Cardiff University","80","2,020","515","2,620","170","15","90","275","70","10","75","155","10","3,055"
"10007854","Cardiff Metropolitan University","65","450","270","785","65","15","65","145","50","5","50","105","5","1,045"
"10002061","Central Bedfordshire College","0","0","5","10","0","0","10","10","0","0","5","5","0","25"
"10007141","The University of Central Lancashire","90","1,140","485","1,715","130","40","130","300","130","15","100","245","5","2,270"
"10003564","Kensington and Chelsea College","0","5","5","10","0","5","0","5","0","0","0","0","0","15"
"10001378","Chesterfield College","0","15","10","25","0","10","0","10","5","0","5","10","0","50"
"10007848","University of Chester","100","820","320","1,235","115","25","135","275","115","5","90","215","5","1,730"
"10007817","Chichester College Group","0","10","5","15","0","5","5","10","5","0","0","5","0","30"
"10007137","The University of Chichester","35","375","175","585","50","10","70","130","45","5","35","85","0","800"
"10001386","Chicken Shed Theatre Company","0","0","5","5","0","0","5","5","0","0","5","5","0","20"
"10001546","The College of Integrated Chinese Medicine","0","15","5","15","0","0","0","0","0","0","0","0","0","20"
"10001419","Christie's Education Limited","0","5","0","5","0","0","0","0","0","0","0","0","0","10"
"10005972","Cheshire College South and West","5","25","15","40","5","10","10","25","10","0","5","15","0","80"
"10010213","The City College","5","0","0","5","0","0","5","5","0","0","0","0","0","10"
"10001478","City, University of London","125","1,185","305","1,615","100","10","35","145","50","5","15","70","5","1,835"
"10001535","Colchester Institute","10","45","25","75","10","5","15","35","5","5","10","20","0","130"
"10007912","Cliff College","0","15","10","25","0","0","5","5","0","0","0","0","0","30"
"10003955","The City of Liverpool College","0","25","15","40","0","5","5","10","10","0","10","20","0","70"
"10013357","The Academy of Contemporary Music","5","20","45","75","10","0","5","15","15","0","10","30","0","120"
"10001653","Conservatoire for Dance and Drama","5","10","125","140","5","20","5","25","5","0","10","15","5","180"
"10007761","Courtauld Institute of Art","5","25","20","50","15","0","0","15","0","0","0","5","0","65"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10003010","Coventry College","0","0","0","5","5","0","0","5","5","0","0","5","0","10"
"10001726","Coventry University","120","1,155","525","1,800","160","25","90","275","120","20","75","215","10","2,300"
"10007822","Cranfield University","40","135","40","215","0","10","0","10","5","0","0","5","0","230"
"10001743","Craven College","0","5","10","20","5","5","10","15","0","0","5","10","0","45"
"10006427","University for the Creative Arts","25","85","165","275","40","20","25","85","80","5","40","125","0","490"
"10001696","Cornwall College","10","20","40","70","10","10","25","45","20","5","20","40","0","155"
"10001778","Croydon College","0","5","10","15","5","0","10","15","0","0","0","0","0","30"
"10007842","University of Cumbria","25","755","185","960","20","15","65","105","45","5","40","85","5","1,155"
"10001883","De Montfort University","55","525","335","915","125","15","55","195","105","5","55","160","5","1,275"
"10001919","DCG","5","30","20","55","0","5","5","10","0","5","0","10","0","70"
"10007851","University of Derby","105","990","405","1,500","125","45","160","330","125","15","80","220","5","2,055"
"10004695","DN Colleges Group","15","50","55","120","10","25","30","65","10","5","10","25","0","210"
"10007924","Dudley College of Technology","0","15","5","20","5","10","0","15","5","0","5","10","0","45"
"10007852","The University of Dundee","40","1,085","195","1,315","50","10","45","105","40","0","40","80","0","1,505"
"10007143","University of Durham","55","1,025","400","1,485","95","5","35","135","30","5","35","70","5","1,690"
"10007789","The University of East Anglia","40","1,230","375","1,650","120","15","70","205","90","5","40","140","5","1,995"
"10007144","The University of East London","85","495","300","880","80","20","155","255","75","10","50","135","10","1,285"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","10","0","10","0","0","0","0","0","0","0","0","0","10"
"10007823","Edge Hill University","35","925","190","1,150","90","20","115","220","90","10","55","155","5","1,530"
"10007772","Edinburgh Napier University","80","585","270","935","70","20","50","135","70","10","65","145","5","1,220"
"10007790","The University of Edinburgh","80","1,485","425","1,995","100","20","50","170","55","5","55","115","10","2,290"
"10006570","EKC GROUP","0","0","5","5","0","5","0","5","5","0","5","10","0","20"
"10002143","Eastleigh College","0","5","0","5","0","5","0","5","0","0","0","0","0","10"
"10022047","Empire College London Limited","0","0","0","5","5","5","5","10","5","0","5","5","0","20"
"10002126","East Riding College","0","5","10","15","0","0","5","5","5","0","0","5","0","25"
"10007791","The University of Essex","55","570","335","960","130","10","70","215","55","5","50","105","5","1,285"
"10008173","University College of Estate Management","40","150","30","220","5","0","0","5","0","0","5","5","0","230"
"10002130","East Surrey College","0","10","5","20","5","5","5","10","0","0","0","5","0","35"
"10002923","East Sussex College Group","5","5","5","15","0","0","5","10","5","0","5","10","0","30"
"10002370","Exeter College","5","20","15","45","5","5","5","15","10","0","10","20","0","80"
"10007792","The University of Exeter","95","1,485","600","2,180","165","25","80","270","65","5","80","150","5","2,610"
"10008640","Falmouth University","40","125","245","410","40","20","30","90","65","5","70","140","5","645"
"10033187","Fairfield School of Business Ltd","5","0","0","5","0","0","5","5","0","0","0","5","0","15"
