﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","15","20","35","0","0","0","0","0","0","0","0","0","35"
"10007783","The University of Aberdeen","40","785","220","1,040","70","5","60","135","45","5","55","105","5","1,285"
"10000055","Abingdon and Witney College","0","5","5","10","0","0","0","0","0","0","0","0","0","10"
"10007849","Abertay University","20","140","90","255","25","5","20","55","25","5","35","70","0","375"
"10007856","Aberystwyth University","25","230","110","365","55","10","65","130","55","5","65","130","0","625"
"10067853","ACM Guildford Limited","5","15","25","45","5","5","5","10","5","0","5","10","0","70"
"10004927","Activate Learning","5","15","15","35","5","5","10","20","0","10","5","20","0","75"
"10000163","AECC University College","0","85","5","95","0","0","0","5","0","0","0","0","0","100"
"10032036","Amity Global Education","0","0","0","5","0","0","0","0","5","0","0","5","0","10"
"10000291","Anglia Ruskin University","205","1,145","420","1,765","205","40","225","465","110","50","105","265","15","2,515"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","5","5","0","5"
"10005451","Arden University","50","80","65","200","30","5","40","75","15","10","25","50","5","330"
"10000381","Arts Educational Schools","0","5","20","25","5","0","0","5","5","0","10","10","0","40"
"10008899","The Ashridge (Bonar Law Memorial) Trust","30","15","10","55","0","0","0","0","0","0","0","0","0","55"
"10003212","Hult International Business School Ltd","15","15","25","60","5","0","0","5","0","0","0","0","0","65"
"10000415","Askham Bryan College","5","5","10","20","0","5","10","15","5","0","5","15","0","55"
"10007759","Aston University","135","750","320","1,205","115","10","30","155","75","10","30","115","15","1,490"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007857","Bangor University","20","345","120","490","35","20","75","130","35","5","50","85","5","715"
"10000536","Barnsley College","5","10","15","30","0","0","10","10","5","0","5","10","0","50"
"10000533","Barnet & Southgate College","0","0","5","5","0","0","0","0","0","0","0","5","0","10"
"10000560","Basingstoke College of Technology","0","10","5","15","0","5","0","5","0","0","0","0","0","20"
"10001465","Bath College","5","5","10","20","0","5","0","5","0","0","0","0","0","25"
"10000571","Bath Spa University","40","460","195","695","50","25","60","135","50","15","45","110","5","945"
"10007850","The University of Bath","70","1,080","355","1,505","55","15","20","90","20","5","30","55","10","1,660"
"10036456","Backstage Academy (Training) Ltd","0","5","10","15","0","5","0","5","0","0","0","0","0","20"
"10000610","Bedford College","0","20","15","40","5","15","5","25","5","0","5","15","0","75"
"10007152","University of Bedfordshire","70","495","155","720","85","20","175","280","50","35","70","155","15","1,165"
"10005343","Queen's University Belfast","55","1,585","315","1,955","120","20","65","205","65","5","60","130","10","2,300"
"10020680","Belfast Metropolitan College","25","100","100","225","30","5","20","55","15","10","20","45","0","325"
"10037544","BIMM University","15","65","170","250","30","25","30","85","40","5","70","115","5","455"
"10007760","Birkbeck College","110","390","250","750","75","10","40","125","20","5","20","45","5","930"
"10006442","Birmingham Metropolitan College","0","5","0","5","0","5","0","5","5","0","5","10","0","20"
"10007140","Birmingham City University","115","1,400","550","2,065","160","40","150","350","140","25","145","315","15","2,740"
"10006840","The University of Birmingham","215","2,240","600","3,055","220","25","110","355","80","10","80","170","5","3,585"
"10000712","University College Birmingham","30","100","115","245","40","60","95","190","40","10","55","105","0","540"
"10000720","Bishop Auckland College","0","0","10","15","0","0","0","5","0","0","0","0","0","20"
"10000894","Bristol Baptist College","0","10","5","10","0","0","0","5","0","0","0","0","0","15"
"10000721","Bishop Burton College","5","10","10","25","5","5","15","25","5","5","20","30","0","80"
"10007811","Bishop Grosseteste University","15","220","45","280","10","5","40","50","10","5","15","25","0","355"
"10000747","Blackburn College","5","15","10","30","0","0","5","10","5","0","5","5","0","45"
"10000754","Blackpool and the Fylde College","30","95","90","215","10","30","25","60","10","5","10","25","0","305"
"10004061","Bloomsbury Institute","5","5","5","15","5","0","5","15","5","5","10","20","0","50"
"10000794","Bolton College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","25","365","130","520","25","20","90","135","25","5","25","60","5","720"
"10000812","Boston College","5","15","5","25","0","0","10","10","5","0","0","10","0","45"
"10000385","The Arts University Bournemouth","15","85","120","215","15","25","30","70","45","5","40","90","0","375"
"10000820","The Bournemouth and Poole College","0","10","20","35","0","5","0","5","5","0","5","10","0","50"
"10000824","Bournemouth University","70","680","360","1,105","120","25","90","230","80","10","60","150","5","1,490"
"10031982","BPP University","30","875","100","1,005","40","15","25","75","20","10","35","60","10","1,150"
"10007785","The University of Bradford","45","495","120","660","45","5","80","125","40","5","35","75","10","875"
"10000840","Bradford College","5","45","25","75","5","0","10","15","0","0","0","5","0","95"
"10000886","The University of Brighton","65","800","260","1,125","60","20","75","160","75","15","70","160","0","1,445"
"10000936","The University College of Osteopathy","0","45","0","45","0","0","0","0","0","0","0","0","0","45"
"10001467","City of Bristol College","0","15","15","30","0","5","5","10","5","0","5","15","0","55"
"10007786","The University of Bristol","70","1,440","465","1,975","150","30","80","260","70","10","105","185","15","2,430"
"10000878","Bridgwater and Taunton College","5","30","15","50","5","0","0","5","0","0","10","10","0","70"
"10028216","Brit College","5","0","0","5","0","5","5","10","0","10","5","15","0","30"
"10023464","Trinity College Bristol","0","20","0","25","0","0","0","5","0","0","0","0","0","25"
"10000944","Brockenhurst College","0","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10000948","Bromley College of Further and Higher Education","0","10","5","15","0","0","5","5","0","0","0","5","0","25"
"10000952","BMC (Brooksby Melton College)","5","5","5","20","0","0","0","0","5","0","0","5","0","25"
"10000961","Brunel University London","55","480","190","725","75","20","50","145","60","10","35","105","5","980"
"10000975","Buckinghamshire New University","90","510","300","900","70","40","140","250","50","65","100","220","25","1,395"
"10007787","The University of Buckingham","15","330","35","375","10","0","10","20","0","0","10","10","0","405"
"10001004","Burton and South Derbyshire College","0","5","0","5","0","0","0","0","0","0","0","0","0","5"
"10001000","Burnley College","5","30","15","45","5","10","10","25","5","0","0","10","0","80"
"10001005","Bury College","0","5","0","5","0","0","5","10","0","0","5","5","0","20"
"10001093","Calderdale College","0","10","10","20","0","0","5","5","0","0","0","0","0","25"
"10010308","Cambridge Arts and Sciences Limited","0","5","0","5","0","0","0","0","5","0","0","5","0","10"
"10001116","Cambridge Regional College","0","5","10","15","5","5","5","15","0","0","5","5","0","35"
"10007788","The University of Cambridge","115","1,305","235","1,650","60","5","20","85","10","0","20","30","10","1,780"
"10032072","The Cambridge Theological Federation","0","15","0","20","0","0","0","0","0","0","0","0","0","20"
"10003324","The Institute of Cancer Research","0","10","0","10","0","0","0","0","0","0","0","0","0","10"
"10001143","Canterbury Christ Church University","55","830","230","1,115","55","15","115","185","55","10","45","110","5","1,415"
"10001165","Cardinal Newman Catholic Sixth Form College","0","5","0","5","0","0","0","0","0","0","0","0","0","10"
"10007814","Cardiff University","90","1,820","485","2,395","170","20","75","265","95","15","100","210","15","2,880"
"10007854","Cardiff Metropolitan University","55","450","250","755","60","15","115","190","45","15","50","110","5","1,055"
"10057213","CEG UFP Limited","0","0","0","0","0","0","5","5","5","0","0","5","0","10"
"10001264","Central School of Ballet","0","0","5","5","0","0","0","0","0","0","0","0","0","5"
"10007141","The University of Central Lancashire","90","1,070","510","1,670","110","35","125","270","100","10","80","190","10","2,135"
"10024024","Central Film School London","0","0","5","5","0","0","0","0","0","0","0","0","0","10"
"10001378","Chesterfield College","0","10","5","15","0","15","5","20","0","0","0","5","0","40"
"10007848","University of Chester","60","735","245","1,035","65","20","125","205","55","5","55","115","5","1,365"
"10007817","Chichester College Group","10","25","20","55","0","10","15","25","15","5","5","20","0","105"
"10007137","The University of Chichester","25","285","180","490","30","10","60","100","30","5","30","65","0","655"
"10001546","The College of Integrated Chinese Medicine","0","10","0","10","0","0","0","0","0","0","0","0","0","15"
"10026921","Christ the Redeemer College","0","0","0","5","0","0","0","0","5","0","0","5","0","10"
"10005972","Cheshire College South and West","0","5","10","20","0","0","0","5","5","5","0","10","0","30"
"10010213","The City College","0","15","0","15","5","0","5","5","0","0","5","5","0","30"
"10001478","City, University of London","90","925","245","1,265","80","5","40","130","75","5","25","100","10","1,505"
"10001535","Colchester Institute","5","25","15","45","0","0","5","5","5","0","0","5","0","60"
"10007912","Cliff College","0","10","10","20","0","0","0","0","0","0","0","0","0","25"
"10003955","The City of Liverpool College","5","25","20","50","0","5","5","10","5","0","15","20","0","75"
"10066502","The College of Health Ltd","5","15","0","20","0","0","0","0","0","0","0","0","0","25"
"10081618","The Council of the Inns of Court","0","25","0","30","0","0","0","0","0","0","0","0","0","35"
"10007761","Courtauld Institute of Art","5","25","20","45","10","0","5","15","5","0","0","5","0","70"
"10003010","Coventry College","0","5","0","5","0","0","0","0","0","0","0","0","0","5"
"10001726","Coventry University","170","1,505","555","2,230","195","55","185","435","155","40","115","315","20","3,000"
"10007822","Cranfield University","140","295","100","535","15","5","0","20","5","0","5","10","5","570"
"10001743","Craven College","0","5","5","5","0","0","5","5","5","0","0","5","0","15"
"10006427","University for the Creative Arts","20","90","135","250","35","20","30","80","35","15","60","110","5","445"
"10001696","Cornwall College","10","20","20","50","5","5","10","20","10","5","10","20","0","90"
"10001778","Croydon College","5","5","5","10","0","0","0","5","0","0","0","0","0","15"
"10007842","University of Cumbria","40","930","135","1,110","20","10","35","65","25","10","35","65","5","1,245"
"10026767","Dartington Hall Trust (The)","5","5","5","15","0","0","0","0","0","0","0","0","0","15"
"10015688","David Game College Ltd","15","0","10","30","5","10","10","25","5","5","15","20","0","75"
"10001883","De Montfort University","120","1,025","525","1,670","140","25","120","290","125","20","90","230","15","2,205"
"10001919","DCG","0","30","10","40","0","5","5","10","5","0","5","10","0","60"
"10007851","University of Derby","125","1,260","440","1,825","110","25","165","300","95","30","80","205","15","2,340"
"10004695","DN Colleges Group","5","65","70","140","15","10","60","85","5","5","5","10","0","235"
"10007924","Dudley College of Technology","0","10","5","20","0","0","0","5","5","0","5","10","0","30"
"10007852","The University of Dundee","50","1,065","240","1,355","80","15","100","190","50","10","55","115","5","1,665"
"10007143","University of Durham","70","975","330","1,375","115","10","50","175","35","5","60","100","10","1,660"
"10007789","The University of East Anglia","65","1,130","395","1,595","110","10","85","205","90","15","60","165","5","1,965"
"10007144","The University of East London","80","595","370","1,045","65","20","105","185","50","20","65","135","10","1,380"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","5","0","5","0","0","0","0","0","0","0","0","0","5"
"10007823","Edge Hill University","40","915","225","1,180","90","20","115","220","70","5","70","140","5","1,545"
"10007772","Edinburgh Napier University","70","600","250","920","55","25","85","170","70","10","45","130","10","1,225"
"10007790","The University of Edinburgh","75","1,415","350","1,840","90","15","50","155","35","5","60","100","5","2,100"
"10006570","EKC GROUP","5","10","5","20","0","0","0","5","0","0","0","0","0","25"
"10022047","Empire College London Limited","10","5","5","15","0","5","0","5","5","5","5","15","5","40"
"10007791","The University of Essex","75","695","320","1,090","125","20","105","250","70","10","75","150","10","1,500"
"10008173","University College of Estate Management","45","230","45","325","5","0","0","5","0","0","0","5","0","335"
"10002130","East Surrey College","0","15","5","20","0","10","0","10","0","0","0","5","0","35"
"10002923","East Sussex College Group","10","10","15","35","0","5","5","15","0","0","10","10","0","55"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10002370","Exeter College","0","25","15","40","0","5","0","5","0","0","5","5","0","50"
