﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2019/20 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","20","30","50","0","0","0","0","0","0","0","0","0","50"
"10007783","The University of Aberdeen","40","825","200","1,065","60","15","55","125","65","5","40","115","10","1,315"
"10000055","Abingdon and Witney College","0","5","0","5","0","5","0","5","0","0","0","0","0","10"
"10007849","Abertay University","15","135","80","230","30","5","20","55","25","5","25","55","0","340"
"10007856","Aberystwyth University","20","225","115","355","60","15","70","145","60","5","65","130","5","635"
"10067853","ACM Guildford Limited","5","15","25","40","5","0","5","10","5","0","15","20","0","75"
"10000248","Academy of Live and Recorded Arts","0","5","10","15","5","0","0","5","0","0","5","5","0","30"
"10004927","Activate Learning","0","20","10","30","0","5","5","10","5","10","5","15","0","60"
"10000163","AECC University College","0","25","0","30","0","0","0","0","0","0","0","0","0","30"
"10000291","Anglia Ruskin University","145","980","405","1,530","130","25","235","390","120","15","105","240","15","2,180"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10005451","Arden University","15","40","30","90","10","5","15","30","5","5","5","15","0","135"
"10000381","Arts Educational Schools","5","5","25","30","5","0","5","10","0","0","5","5","0","50"
"10003212","Hult International Business School Ltd","10","5","20","35","0","0","0","0","0","0","0","0","0","35"
"10000415","Askham Bryan College","5","10","5","15","0","10","15","25","5","0","10","15","0","60"
"10007759","Aston University","70","610","295","975","100","15","20","130","55","10","35","95","5","1,205"
"10000473","Aylesbury College","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007857","Bangor University","30","480","145","655","65","25","90","180","80","10","75","165","5","1,005"
"10000536","Barnsley College","0","5","5","10","5","0","10","15","5","0","5","10","0","35"
"10000533","Barnet & Southgate College","5","5","5","15","5","0","10","10","0","0","5","5","0","30"
