﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2018/19 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10008071","AA School of Architecture","0","20","45","65","0","0","0","0","0","0","0","0","0","65"
"10007783","The University of Aberdeen","30","785","175","990","55","10","40","105","70","5","50","125","0","1,220"
"10000055","Abingdon and Witney College","0","0","10","10","0","5","0","5","0","0","0","0","0","20"
"10007849","Abertay University","10","145","85","245","30","5","25","60","30","5","20","55","0","360"
"10007856","Aberystwyth University","20","215","130","365","70","25","45","140","50","10","60","120","5","625"
"10000093","Accrington and Rossendale College","5","5","15","20","0","5","5","5","0","0","5","5","0","30"
"10067853","ACM Guildford Limited","5","15","40","60","5","5","0","10","10","0","5","20","0","90"
"10000248","Academy of Live and Recorded Arts","0","0","10","10","0","0","5","10","5","0","5","10","0","25"
"10004927","Activate Learning","0","10","5","15","0","5","0","5","0","0","0","0","0","25"
"10000163","AECC University College","0","25","0","25","0","0","0","0","0","0","0","0","0","25"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","135","1,165","415","1,715","140","20","205","365","110","10","75","195","10","2,285"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","15","20","25","60","10","5","15","30","0","0","5","10","5","100"
"10000381","Arts Educational Schools","0","10","20","30","0","0","5","10","0","0","5","5","0","45"
"10000415","Askham Bryan College","5","5","20","30","0","5","15","25","10","0","10","20","0","70"
"10007759","Aston University","95","675","300","1,070","80","15","30","120","55","10","35","100","0","1,295"
"10000473","Aylesbury College","0","0","5","5","0","5","0","5","5","0","0","5","0","15"
"10007857","Bangor University","40","375","160","575","75","20","90","185","65","10","80","150","0","915"
"10000528","Barking and Dagenham College","0","5","5","10","0","0","0","5","5","5","0","5","0","20"
"10000534","Barnfield College","0","0","0","0","0","0","5","5","5","0","0","5","0","10"
"10000536","Barnsley College","0","20","10","30","5","5","10","20","5","0","5","5","0","55"
"10000533","Barnet & Southgate College","0","5","5","15","0","0","5","5","0","0","0","0","0","20"
"10000560","Basingstoke College of Technology","0","5","5","10","0","0","0","0","0","0","0","0","0","15"
"10001465","Bath College","5","15","10","30","0","0","0","0","0","0","0","5","0","35"
"10000571","Bath Spa University","35","420","240","695","75","20","95","190","100","5","65","170","5","1,055"
"10007850","The University of Bath","65","1,130","370","1,570","50","15","25","95","25","10","35","70","5","1,740"
"10000610","Bedford College","0","30","20","50","5","10","10","30","10","5","10","25","0","110"
"10007152","University of Bedfordshire","55","595","175","825","60","15","110","185","55","10","55","120","5","1,135"
"10005343","Queen's University Belfast","55","1,585","310","1,955","105","20","65","190","90","10","65","165","10","2,315"
"10020680","Belfast Metropolitan College","50","100","115","265","35","15","45","95","45","5","35","90","0","450"
"10000654","The Berkshire College of Agriculture (BCA)","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10000670","Bexhill College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10037544","BIMM University","20","35","115","170","25","15","20","60","50","5","60","110","0","340"
"10007760","Birkbeck College","135","475","240","850","90","10","40","145","45","10","30","85","5","1,080"
