"UKPRN","cluster","total"
10005822,3,80
10005946,3,435
10005967,3,230
10005972,3,335
10005977,3,525
10005979,3,130
10005981,3,480
10005998,3,390
10005999,3,570
10006020,1,110
10006038,2,130
10006050,2,400
10006174,3,410
10006243,2,195
10006303,3,60
10006322,3,65
10006378,2,95
10006442,3,175
10006463,3,40
10006494,3,205
10006549,3,65
10006570,3,115
10006770,3,395
10006963,3,425
10007011,3,95
10007063,3,470
10007193,2,250
10007289,3,440
10007315,2,305
10007339,3,285
10007417,2,110
10007419,3,45
10007427,3,195
10007431,1,85
10007434,2,85
10007455,3,220
10007459,1,460
10007469,3,110
10007500,3,485
10007527,3,215
10007553,3,165
10007578,3,145
10007696,3,225
10007709,3,320
10007817,3,315
10007820,3,820
10007832,1,2105
10007833,1,2765
10007859,1,720
10007924,3,270
10007928,3,170
10007937,2,230
10007938,3,905
10007945,3,120
10007977,2,625
10009614,3,120
10013357,3,120
10020372,3,935
10020439,3,20
10020633,3,1190
10020634,3,810
10020680,3,2155
10020685,3,1145
10020699,3,1510
10022021,2,80
10023139,2,855
10023445,1,20
10024962,3,945
10036143,2,200
10036456,3,45
10038763,3,75
10042570,1,655
10048199,1,80
10053279,1,30
10066551,1,70
