"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10002094,"Ealing, Hammersmith & West London College",0,0,0,5,0,0,0,10,0,0,0,0,0,15
10002107,"The Windsor Forest Colleges Group",0,60,25,90,0,0,25,30,0,0,0,0,0,115
10002126,"East Riding College",0,25,25,55,5,5,20,30,10,0,0,10,0,90
10002130,"East Surrey College",15,75,35,135,10,35,15,65,10,0,5,20,0,225
10002143,"Eastleigh College",0,5,0,5,0,5,0,5,0,0,0,0,0,10
10002313,"ESCP Europe Business School",0,5,0,10,0,0,0,0,0,0,0,0,0,10
10002370,"Exeter College",15,130,95,240,10,35,30,75,25,10,35,70,0,390
10002412,"Farnborough College of Technology",15,145,75,235,10,5,55,70,30,0,15,50,0,355
10002599,"Furness College",0,115,95,210,5,25,5,50,5,0,0,10,5,280
10002638,"Gateshead College",20,75,50,140,5,55,10,70,10,0,10,40,0,245
10002681,"Glasgow School of Art",40,295,575,920,45,60,45,150,80,5,90,185,5,1250
10002696,"Gloucestershire College",5,65,65,145,10,20,15,45,15,5,35,60,0,255
10002718,"Goldsmiths College",220,2520,1485,4230,350,70,295,720,220,20,190,440,25,5410
10002743,"Grantham College",0,5,15,35,0,20,0,30,15,0,20,35,0,95
10002815,"Guildford College of Further and Higher Education",5,25,25,60,0,0,15,15,0,0,10,10,0,85
10002843,"Hadlow College",0,0,0,5,0,5,0,5,0,0,0,5,0,10
10002852,"Halesowen College",0,15,40,65,5,10,20,45,20,0,25,45,0,155
10002863,"Riverside College Halton",0,70,120,190,5,25,55,95,10,0,15,25,0,305
10002899,"Harlow College",0,15,15,30,0,5,0,30,0,0,5,10,0,65
10002919,"Hartpury College",15,25,85,125,15,5,40,55,10,0,20,30,0,210
10002923,"East Sussex College Group",30,50,95,175,15,25,35,85,35,0,30,70,0,320
10002935,"Havering College of Further and Higher Education",5,75,25,105,0,20,5,30,0,0,0,0,0,140
10003010,"Coventry College",0,20,10,35,5,0,0,15,5,0,5,20,0,65
10003022,"Hereford College of Arts",0,40,70,120,25,40,20,90,35,5,40,85,0,285
10003023,"Herefordshire, Ludlow and North Shropshire College",0,45,15,55,0,30,5,35,5,0,0,15,0,105
10003035,"Hertford Regional College",5,35,15,60,0,0,10,15,10,0,10,30,0,100
10003088,"Richmond and Hillcroft Adult and Community College",0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003128,"Holy Cross College",5,60,45,110,0,0,55,70,0,0,0,0,0,180
10003146,"Hopwood Hall College",0,10,15,20,0,0,10,15,10,0,0,10,0,50
10003189,"Kirklees College",0,50,30,85,0,20,20,55,15,0,0,25,0,160
10003193,"Hugh Baird College",10,60,70,135,10,0,45,70,35,0,25,60,0,255
10003200,"Hull College",35,135,100,270,20,15,60,85,35,10,30,75,0,440
10003212,"Hult International Business School Ltd",50,50,90,200,5,0,0,5,0,0,0,5,0,215
10003239,"ICON College of Technology and Management",65,30,45,125,55,70,115,245,55,60,125,240,10,625
10003270,"Imperial College of Science, Technology and Medicine",655,8680,1245,10585,90,40,45,175,45,5,40,105,40,10895
10003284,"Inchbald School of Design Limited",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003324,"The Institute of Cancer Research",0,140,5,145,0,0,0,0,0,0,0,0,0,145
10003331,"Regent's University London",30,70,90,185,15,0,5,15,20,0,10,25,0,235
10003558,"Kendal College",0,25,30,55,0,20,25,45,5,0,0,15,0,115
10003564,"Kensington and Chelsea College",0,5,5,10,0,5,0,10,0,0,0,0,0,20
10003566,"Kensington College of Business",15,5,5,30,15,10,20,45,15,10,20,50,0,130
10003614,"The University of Winchester",245,3025,1210,4490,505,55,565,1130,395,35,370,800,30,6440
10003645,"King's College London",1125,12355,3080,16555,680,65,390,1130,300,25,205,545,75,18300
10003674,"South Thames Colleges Group",10,130,145,275,20,40,95,150,35,0,30,70,0,505
10003676,"Kingston Maurward College",0,10,5,20,0,0,20,20,5,0,0,10,0,60
10003678,"Kingston University",470,4480,2145,7100,595,240,585,1420,580,110,345,1030,40,9585
10003753,"Lakes College West Cumbria",10,80,65,165,5,65,5,80,0,0,5,10,0,255
10003758,"LAMDA Limited",0,5,95,110,5,10,5,30,0,0,10,15,0,150
10003768,"Lancaster and Morecambe College",0,0,5,5,0,0,5,5,0,0,0,0,0,10
10003798,"Le Cordon Bleu Limited",15,15,5,35,0,110,0,115,0,0,0,10,0,155
10003854,"Leeds Arts University",60,290,450,800,100,50,60,205,185,20,145,355,5,1365
10003855,"Leeds College of Building",50,360,115,520,5,20,0,25,0,0,0,0,0,550
10003861,"Leeds Beckett University",775,5670,3550,9995,950,245,845,2045,895,100,665,1645,55,13750
10003863,"Leeds Trinity University",110,1710,735,2545,185,35,330,550,165,35,130,325,5,3440
10003867,"Leicester College",35,105,75,240,30,45,105,170,40,40,65,150,5,555
10003928,"Lincoln College",15,150,110,265,10,55,25,100,10,10,15,40,0,415
10003945,"The Liverpool Institute for Performing Arts",25,70,360,460,30,30,60,110,40,5,65,105,0,685
10003955,"The City of Liverpool College",10,125,100,240,15,30,35,75,40,5,50,100,0,415
10003956,"Liverpool Hope University",105,2250,620,2990,305,35,450,795,280,25,205,500,0,4290
10003957,"Liverpool John Moores University",725,8950,3320,13015,1090,205,815,2110,980,125,760,1860,65,17045
10003958,"Liverpool School of Tropical Medicine",0,370,25,395,0,0,0,5,0,0,0,0,0,405
10004028,"The Place, London Contemporary Dance School (LCDS)",0,0,10,10,0,0,0,0,0,0,5,5,0,15
10004035,"The Film Education Training Trust Limited",0,0,30,30,0,0,0,5,0,0,0,0,0,40
10004036,"London Film School Limited",0,0,25,25,0,0,0,0,0,0,0,0,0,30
10004048,"London Metropolitan University",270,1570,1125,2970,340,75,450,865,275,60,205,530,40,4395
10004061,"Bloomsbury Institute",60,45,60,170,65,10,45,120,30,20,45,100,0,400
10004063,"London School of Economics and Political Science",420,4820,1330,6570,220,0,30,255,55,0,40,110,50,6975
